location,total_sqft,bed,bath,price,price_per_sqft
Hebbal,1349.0,2.0,2.0,98.0,7264.6404744255005
Hebbal,1255.0,3.0,2.0,77.68,6189.641434262949
Hebbal,1355.0,3.0,3.0,83.87,6189.667896678967
Hebbal,1790.0,3.0,3.0,127.0,7094.972067039106
Hebbal,687.325,2.0,2.0,42.72,6215.40028370858
Hebbal,2790.0,4.0,5.0,198.0,7096.774193548387
Hebbal,1985.0,3.0,4.0,189.0,9521.410579345089
Hebbal,2483.0,4.0,5.0,215.0,8658.880386629078
Hebbal,1080.0,2.0,2.0,54.0,5000.0
Hebbal,812.0,2.0,2.0,55.0,6773.399014778325
Hebbal,2790.0,4.0,4.0,198.0,7096.774193548387
Hebbal,3067.0,4.0,4.0,230.0,7499.184871209651
Hebbal,2526.0,3.0,2.0,250.0,9897.070467141726
Hebbal,3067.0,4.0,4.0,230.0,7499.184871209651
Hebbal,1255.0,3.0,2.0,77.68,6189.641434262949
Hebbal,823.0,2.0,2.0,50.63,6151.883353584447
Hebbal,1420.0,2.0,2.0,123.0,8661.971830985916
Hebbal,1069.0,3.0,3.0,65.4,6117.867165575305
Hebbal,1420.0,2.0,2.0,99.39,6999.295774647887
Hebbal,4235.0,4.0,4.0,365.0,8618.654073199528
Hebbal,1700.0,3.0,3.0,124.0,7294.117647058823
Hebbal,3960.0,4.0,5.0,386.0,9747.474747474747
Hebbal,1420.0,2.0,2.0,99.39,6999.295774647887
Hebbal,1355.0,3.0,3.0,83.87,6189.667896678967
Hebbal,1440.0,2.0,2.0,115.0,7986.111111111111
Hebbal,1100.0,2.0,2.0,54.0,4909.090909090909
Hebbal,1355.0,3.0,3.0,83.87,6189.667896678967
Hebbal,2400.0,3.0,4.0,180.0,7500.0
Hebbal,1255.0,3.0,2.0,77.68,6189.641434262949
Hebbal,1420.0,2.0,2.0,107.0,7535.211267605634
Hebbal,1320.0,2.0,2.0,92.0,6969.69696969697
Hebbal,919.0,2.0,2.0,49.0,5331.882480957563
Hebbal,1645.0,3.0,3.0,135.0,8206.686930091186
Hebbal,2080.0,3.0,3.0,175.0,8413.461538461539
Hebbal,1355.0,3.0,3.0,83.87,6189.667896678967
Hebbal,2483.0,4.0,5.0,230.0,9262.988320579943
Hebbal,2600.0,3.0,3.0,195.0,7500.0
Hebbal,1645.0,3.0,3.0,117.0,7112.462006079028
Hebbal,1251.0,2.0,2.0,88.73,7092.725819344524
Hebbal,1645.0,3.0,3.0,121.0,7355.623100303951
Hebbal,1760.0,3.0,3.0,123.0,6988.636363636364
Hebbal,2790.0,4.0,4.0,198.0,7096.774193548387
Hebbal,3960.0,4.0,5.0,386.0,9747.474747474747
Hebbal,1645.0,3.0,3.0,120.0,7294.83282674772
Hebbal,1255.0,3.0,2.0,90.0,7171.314741035857
Hebbal,1645.0,3.0,3.0,117.0,7112.462006079028
Hebbal,1255.0,3.0,3.0,77.68,6189.641434262949
Hebbal,1586.0,3.0,3.0,90.0,5674.653215636822
Hebbal,1636.0,3.0,3.0,119.0,7273.838630806846
Hebbal,2661.0,3.0,2.0,226.5,8511.83765501691
Hebbal,1255.0,3.0,2.0,95.0,7569.721115537848
Hebbal,2790.0,4.0,4.0,198.0,7096.774193548387
Hebbal,1269.0,3.0,2.0,73.0,5752.561071710008
Hebbal,1255.0,3.0,2.0,95.0,7569.721115537848
Hebbal,1088.0,2.0,2.0,61.45,5647.97794117647
Hebbal,1349.0,2.0,2.0,97.8,7249.814677538918
Hebbal,1255.0,3.0,3.0,77.68,6189.641434262949
Hebbal,1344.0,2.0,2.0,108.0,8035.714285714285
Hebbal,1255.0,3.0,2.0,90.0,7171.314741035857
Hebbal,1255.0,3.0,3.0,77.68,6189.641434262949
Hebbal,1138.0,2.0,2.0,110.0,9666.080843585238
Hebbal,2790.0,4.0,5.0,204.0,7311.8279569892475
Hebbal,1088.0,2.0,2.0,62.0,5698.529411764706
Hebbal,1987.0,3.0,4.0,165.0,8303.975842979366
Hebbal,2790.0,4.0,5.0,198.0,7096.774193548387
Hebbal,1299.0,2.0,2.0,100.0,7698.229407236336
Hebbal,1200.0,2.0,2.0,60.0,5000.0
Hebbal,1645.0,3.0,3.0,117.0,7112.462006079028
Hebbal,1390.0,2.0,2.0,95.0,6834.53237410072
Hebbal,1333.0,2.0,2.0,100.0,7501.875468867217
Hebbal,1355.0,3.0,3.0,83.87,6189.667896678967
Hebbal,2650.0,3.0,4.0,199.0,7509.433962264151
Hebbal,1800.0,3.0,3.0,140.0,7777.777777777777
Hebbal,1860.0,3.0,3.0,95.0,5107.5268817204305
Hebbal,2470.0,4.0,4.0,203.0,8218.623481781377
Hebbal,1255.0,3.0,2.0,95.0,7569.721115537848
Hebbal,1333.0,2.0,2.0,104.0,7801.950487621905
Hebbal,1645.0,3.0,3.0,117.0,7112.462006079028
Hebbal,2600.0,3.0,3.0,199.0,7653.846153846154
Hebbal,1345.0,2.0,2.0,97.0,7211.8959107806695
Hebbal,1110.0,3.0,3.0,59.0,5315.315315315315
Hebbal,985.0,2.0,2.0,62.0,6294.416243654822
Hebbal,1320.0,2.0,2.0,91.0,6893.939393939394
Hebbal,2388.0,3.0,3.0,195.0,8165.829145728643
Hebbal,1040.0,2.0,2.0,55.0,5288.461538461538
Hebbal,1315.0,3.0,3.0,65.0,4942.9657794676805
Hebbal,2600.0,3.0,3.0,195.0,7500.0
Hebbal,2630.0,4.0,5.0,188.0,7148.28897338403
Hebbal,2790.0,4.0,5.0,198.0,7096.774193548387
Hebbal,1645.0,3.0,3.0,113.0,6869.300911854103
Hebbal,1355.0,3.0,3.0,83.87,6189.667896678967
Hebbal,1420.0,2.0,2.0,99.39,6999.295774647887
Hebbal,1590.0,3.0,3.0,96.0,6037.735849056604
Hebbal,3520.0,3.0,5.0,320.0,9090.90909090909
Hebbal,1162.0,2.0,2.0,69.0,5938.037865748709
Hebbal,1100.0,2.0,2.0,60.0,5454.545454545455
Hebbal,4235.0,4.0,5.0,364.0,8595.04132231405
Hebbal,1299.0,2.0,2.0,97.0,7467.282525019245
Hebbal,1255.0,3.0,3.0,77.68,6189.641434262949
Hebbal,2470.0,4.0,5.0,192.0,7773.27935222672
Hebbal,1645.0,3.0,3.0,117.0,7112.462006079028
Hebbal,1920.0,3.0,3.0,134.0,6979.166666666667
Hebbal,3520.0,3.0,5.0,240.0,6818.181818181818
Hebbal,1920.0,3.0,3.0,150.0,7812.5
Hebbal,2375.0,4.0,4.0,189.0,7957.894736842105
Hebbal,1420.0,2.0,2.0,99.26,6990.140845070423
Hebbal,1252.0,2.0,2.0,92.0,7348.242811501597
Hebbal,2790.0,4.0,4.0,198.0,7096.774193548387
Hebbal,1162.0,2.0,2.0,59.0,5077.452667814114
Hebbal,1294.0,2.0,2.0,115.0,8887.171561051005
Hebbal,4225.0,4.0,6.0,359.0,8497.041420118343
Hebbal,1150.0,2.0,2.0,57.0,4956.521739130435
Hebbal,1740.0,3.0,2.0,137.0,7873.563218390805
Hebbal,1430.0,3.0,3.0,85.0,5944.055944055944
Hebbal,1662.0,3.0,3.0,155.0,9326.113116726836
Hebbal,2250.0,3.0,3.0,219.0,9733.333333333334
Hebbal,1349.0,2.0,2.0,98.0,7264.6404744255005
Hebbal,4000.0,4.0,6.0,370.0,9250.0
Hebbal,1349.0,2.0,2.0,96.8,7175.685693106005
Hebbal Kempapura,1700.0,3.0,3.0,155.0,9117.64705882353
Hebbal Kempapura,1800.0,3.0,3.0,175.0,9722.222222222223
Hebbal Kempapura,2900.0,3.0,4.0,300.0,10344.827586206897
Hebbal Kempapura,3522.0,3.0,3.0,380.0,10789.324247586599
Hebbal Kempapura,2280.0,5.0,5.0,200.0,8771.929824561403
Hebbal Kempapura,1200.0,2.0,2.0,125.0,10416.666666666666
Hebbal Kempapura,2900.0,3.0,4.0,240.0,8275.862068965518
Hebbal Kempapura,3900.0,4.0,5.0,360.0,9230.76923076923
Hebbal Kempapura,1300.0,2.0,2.0,102.0,7846.153846153846
Hebbal Kempapura,1466.0,3.0,2.0,140.0,9549.795361527968
Hebbal Kempapura,3900.0,4.0,5.0,310.0,7948.717948717948
Hebbal Kempapura,1725.0,3.0,2.0,165.0,9565.217391304348
Hebbal Kempapura,1200.0,3.0,3.0,125.0,10416.666666666666
Hebbal Kempapura,3408.0,3.0,3.0,260.0,7629.107981220657
Hebbal Kempapura,1485.0,2.0,3.0,132.0,8888.888888888889
Hebbal Kempapura,1400.0,2.0,2.0,108.0,7714.285714285715
Hebbal Kempapura,1800.0,3.0,3.0,150.0,8333.333333333334
Hebbal Kempapura,2400.0,5.0,5.0,200.0,8333.333333333334
Hebbal Kempapura,2800.0,5.0,5.0,220.0,7857.142857142857
Hebbal Kempapura,1785.0,3.0,3.0,165.0,9243.697478991597
Hebbal Kempapura,3729.0,4.0,4.0,384.0,10297.666934835077
Hebbal Kempapura,1600.0,3.0,3.0,170.0,10625.0
Hebbal Kempapura,1730.0,3.0,3.0,175.0,10115.606936416185
Hebbal Kempapura,2485.0,4.0,4.0,198.0,7967.806841046277
Hegde Nagar,1569.0,3.0,3.0,101.0,6437.221159974506
Hegde Nagar,3000.0,6.0,7.0,210.0,7000.0
Hegde Nagar,2026.0,3.0,3.0,132.0,6515.301085883514
Hegde Nagar,1801.0,3.0,3.0,115.0,6385.341476957246
Hegde Nagar,1050.0,2.0,1.0,56.0,5333.333333333333
Hegde Nagar,1341.0,2.0,2.0,97.0,7233.407904548844
Hegde Nagar,2112.95,3.0,4.0,145.0,6862.443503159091
Hegde Nagar,1200.0,4.0,4.0,83.0,6916.666666666667
Hegde Nagar,1703.0,3.0,3.0,113.0,6635.3493834409865
Hegde Nagar,1570.0,3.0,3.0,105.0,6687.898089171975
Hegde Nagar,1801.0,3.0,3.0,140.0,7773.459189339256
Hegde Nagar,1584.01,3.0,3.0,103.0,6502.484201488627
Hegde Nagar,1965.0,3.0,4.0,125.0,6361.323155216285
Hegde Nagar,1200.0,2.0,2.0,75.0,6250.0
Hegde Nagar,1847.0,3.0,3.0,135.0,7309.1499729290745
Hegde Nagar,1965.0,3.0,4.0,132.0,6717.557251908397
Hegde Nagar,1703.0,3.0,3.0,125.0,7339.988256018791
Hegde Nagar,1847.0,3.0,3.0,125.0,6767.73145641581
Hegde Nagar,2144.6,3.0,4.0,145.0,6761.167583698592
Hegde Nagar,1718.0,3.0,3.0,119.0,6926.6589057043075
Hegde Nagar,1847.0,3.0,3.0,123.0,6659.447753113156
Hegde Nagar,1340.0,2.0,2.0,72.0,5373.134328358209
Hegde Nagar,2087.01,3.0,3.0,115.0,5510.275465857853
Hegde Nagar,1703.0,3.0,3.0,130.0,7633.587786259542
Hegde Nagar,2087.01,3.0,4.0,135.0,6468.584242528785
Hegde Nagar,1718.0,3.0,3.0,130.0,7566.938300349243
Hegde Nagar,1884.0,3.0,4.0,118.0,6263.2696390658175
Hegde Nagar,1930.0,3.0,4.0,122.0,6321.243523316062
Hegde Nagar,1584.01,3.0,3.0,104.0,6565.615116066187
Hegde Nagar,1168.0,3.0,2.0,68.0,5821.917808219178
Hegde Nagar,2162.03,3.0,4.0,129.0,5966.614709324107
Hegde Nagar,2087.01,3.0,4.0,160.0,7666.470213367448
Hegde Nagar,1000.0,2.0,2.0,66.0,6600.0
Hegde Nagar,1348.0,3.0,2.0,80.5,5971.810089020772
Hennur,1075.0,2.0,2.0,52.0,4837.209302325581
Hennur,1255.0,2.0,2.0,52.32,4168.924302788844
Hennur,1225.0,2.0,2.0,57.0,4653.061224489796
Hennur,1255.0,2.0,2.0,57.5,4581.673306772908
Hennur,1259.0,2.0,2.0,57.0,4527.4027005559965
Hennur,1255.0,2.0,2.0,53.5,4262.948207171315
Hennur,1285.0,2.0,2.0,60.0,4669.260700389105
Hennur,1285.0,2.0,2.0,60.0,4669.260700389105
Hennur,1100.0,2.0,2.0,60.0,5454.545454545455
Hennur,1231.0,2.0,2.0,48.0,3899.268887083672
Hennur,1255.0,2.0,2.0,58.0,4621.5139442231075
Hennur,1040.0,2.0,2.0,42.12,4050.0
Hennur,1255.0,2.0,2.0,54.5,4342.629482071713
Hennur,1041.0,2.0,2.0,40.6,3900.0960614793466
Hennur,1340.0,3.0,3.0,54.24,4047.7611940298507
Hennur,1255.0,2.0,2.0,55.5,4422.310756972111
Hennur,1260.0,3.0,2.0,52.0,4126.984126984127
Hennur,1231.0,2.0,2.0,50.0,4061.7384240454917
Hennur,2500.0,5.0,5.0,125.0,5000.0
Hennur,1160.0,2.0,2.0,49.0,4224.137931034483
Hennur,2400.0,3.0,3.0,135.0,5625.0
Hennur,1255.0,2.0,2.0,53.5,4262.948207171315
Hennur,1255.0,2.0,2.0,55.5,4422.310756972111
Hennur,1100.0,2.0,2.0,44.55,4050.0
Hennur,1255.0,2.0,2.0,57.5,4581.673306772908
Hennur,960.0,2.0,2.0,48.0,5000.0
Hennur,1020.0,2.0,2.0,48.0,4705.882352941177
Hennur,1255.0,2.0,2.0,52.32,4168.924302788844
Hennur,1295.0,2.0,2.0,64.0,4942.084942084942
Hennur,1935.0,3.0,3.0,102.0,5271.3178294573645
Hennur,1655.0,3.0,2.0,70.5,4259.818731117824
Hennur,1345.0,3.0,2.0,69.0,5130.111524163569
Hennur,1255.0,2.0,2.0,58.0,4621.5139442231075
Hennur,1420.0,2.0,2.0,62.0,4366.197183098591
Hennur,1155.0,2.0,2.0,54.5,4718.614718614718
Hennur,1255.0,2.0,2.0,52.32,4168.924302788844
Hennur,1255.0,2.0,2.0,52.35,4171.314741035857
Hennur,3517.0,4.0,2.0,161.5,4591.981802672733
Hennur,1340.0,3.0,2.0,54.27,4050.0
Hennur,1255.0,2.0,2.0,54.5,4342.629482071713
Hennur,1830.0,3.0,2.0,113.0,6174.863387978142
Hennur,1830.5,3.0,3.0,84.205,4600.109259765091
Hennur,1255.0,2.0,2.0,55.5,4422.310756972111
Hennur,1255.0,2.0,2.0,53.57,4268.525896414342
Hennur,1255.0,2.0,2.0,56.5,4501.99203187251
Hennur,1050.0,2.0,2.0,42.73,4069.5238095238096
Hennur,1295.0,2.0,2.0,62.0,4787.644787644787
Hennur Road,2089.0,3.0,3.0,140.0,6701.771182383915
Hennur Road,3203.5,4.0,2.0,224.5,7007.960043702201
Hennur Road,5000.0,8.0,8.0,250.0,5000.0
Hennur Road,1385.0,2.0,2.0,83.09,5999.27797833935
Hennur Road,1317.5,2.0,2.0,63.77,4840.2277039848195
Hennur Road,1500.0,3.0,2.0,62.0,4133.333333333333
Hennur Road,2264.0,3.0,3.0,159.0,7022.968197879859
Hennur Road,1157.0,2.0,2.0,84.0,7260.155574762316
Hennur Road,1904.0,3.0,3.0,120.0,6302.5210084033615
Hennur Road,1891.0,3.0,3.0,109.0,5764.1459545214175
Hennur Road,1561.0,3.0,3.0,95.0,6085.842408712364
Hennur Road,1192.0,3.0,2.0,60.0,5033.557046979866
Hennur Road,2060.0,3.0,3.0,149.0,7233.0097087378645
Hennur Road,1482.0,3.0,2.0,92.0,6207.827260458839
Hennur Road,1232.0,2.0,2.0,89.0,7224.025974025974
Hennur Road,1065.0,2.0,2.0,42.6,4000.0
Hennur Road,1482.0,3.0,2.0,83.73,5649.797570850203
Hennur Road,1482.0,3.0,2.0,87.0,5870.4453441295545
Hennur Road,1891.0,3.0,3.0,139.0,7350.608143839238
Hennur Road,1703.0,3.0,3.0,101.0,5930.710510863182
Hennur Road,1232.0,2.0,2.0,69.61,5650.162337662337
Hennur Road,987.0,2.0,2.0,49.0,4964.5390070921985
Hennur Road,1804.0,3.0,3.0,102.0,5654.10199556541
Hennur Road,2160.0,3.0,3.0,160.0,7407.407407407408
Hennur Road,1186.0,3.0,2.0,63.0,5311.973018549747
Hennur Road,1680.0,3.0,3.0,99.27,5908.928571428572
Hennur Road,1065.0,2.0,2.0,42.6,4000.0
Hennur Road,1385.0,2.0,2.0,83.09,5999.27797833935
Hennur Road,1186.0,3.0,2.0,56.0,4721.753794266442
Hennur Road,2350.0,3.0,3.0,174.0,7404.255319148936
Hennur Road,1586.0,3.0,3.0,93.94,5923.076923076923
Hennur Road,1975.0,3.0,3.0,123.0,6227.848101265823
Hennur Road,1664.0,3.0,2.0,93.865,5640.9254807692305
Hennur Road,1290.0,3.0,2.0,94.5,7325.581395348837
Hennur Road,901.0,2.0,2.0,49.5,5493.895671476138
Hennur Road,1445.0,3.0,3.0,86.56,5990.311418685121
Hennur Road,1482.0,3.0,2.0,97.0,6545.209176788124
Hennur Road,1182.0,2.0,2.0,82.5,6979.6954314720815
Hennur Road,1192.0,3.0,2.0,62.0,5201.342281879195
Hennur Road,1036.0,2.0,2.0,59.46,5739.382239382239
Hennur Road,1891.0,3.0,3.0,109.0,5764.1459545214175
Hennur Road,1232.0,2.0,2.0,69.61,5650.162337662337
Hennur Road,1804.0,3.0,3.0,102.0,5654.10199556541
Hennur Road,2320.0,3.0,3.0,170.0,7327.586206896552
Hennur Road,1936.0,3.0,3.0,118.0,6095.0413223140495
Hennur Road,1480.0,2.0,2.0,65.0,4391.891891891892
Hennur Road,1590.0,3.0,3.0,96.5,6069.182389937107
Hennur Road,1445.0,3.0,2.0,105.0,7266.435986159169
Hennur Road,1036.0,2.0,2.0,59.45,5738.416988416989
Hennur Road,1832.0,3.0,3.0,125.0,6823.144104803493
Hennur Road,1359.0,2.0,2.0,104.0,7652.685798381162
Hennur Road,1341.0,2.0,2.0,75.76,5649.515287099181
Hennur Road,1040.0,2.0,2.0,50.0,4807.692307692308
Hennur Road,1685.0,3.0,3.0,95.0,5637.982195845697
Hennur Road,1414.0,2.0,2.0,84.18,5953.323903818953
Hennur Road,1949.0,3.0,3.0,133.0,6824.012314007183
Hennur Road,1232.0,2.0,2.0,89.0,7224.025974025974
Hennur Road,1250.0,3.0,2.0,77.88,6230.4
Hennur Road,2502.0,4.0,4.0,180.0,7194.244604316546
Hennur Road,1831.0,3.0,3.0,110.0,6007.646095030038
Hennur Road,1232.0,2.0,2.0,87.0,7061.688311688312
Hennur Road,1232.0,2.0,2.0,74.0,6006.493506493506
Hennur Road,1232.0,2.0,2.0,66.0,5357.142857142857
Hennur Road,1341.0,2.0,2.0,95.0,7084.265473527218
Hennur Road,2700.0,3.0,3.0,150.0,5555.555555555556
Hennur Road,1232.0,2.0,2.0,88.0,7142.857142857143
Hennur Road,2365.0,3.0,4.0,175.0,7399.577167019028
Hennur Road,1310.0,2.0,2.0,66.0,5038.167938931298
Hennur Road,1552.0,3.0,3.0,75.0,4832.474226804124
Hennur Road,1015.0,2.0,2.0,50.0,4926.108374384236
Hennur Road,1186.0,3.0,2.0,55.33,4665.2613827993255
Hennur Road,2264.0,3.0,3.0,168.0,7420.494699646643
Hennur Road,2002.0,3.0,3.0,120.0,5994.005994005994
Hennur Road,1232.0,2.0,2.0,69.6,5649.350649350648
Hennur Road,1195.0,2.0,2.0,73.0,6108.786610878661
Hennur Road,1020.0,2.0,2.0,47.0,4607.843137254902
Hennur Road,5100.0,5.0,6.0,375.0,7352.941176470588
Hennur Road,1061.0,2.0,2.0,54.92,5176.248821866164
Hennur Road,1585.0,3.0,2.0,80.0,5047.318611987382
Hennur Road,1020.0,2.0,2.0,45.0,4411.764705882353
Hennur Road,2041.0,3.0,3.0,128.0,6271.435570798628
Hennur Road,1232.0,2.0,2.0,87.0,7061.688311688312
Hennur Road,1066.0,2.0,2.0,52.23,4899.624765478424
Hennur Road,973.0,2.0,2.0,56.0,5755.395683453237
Hennur Road,1255.0,2.0,2.0,84.0,6693.227091633466
Hennur Road,1232.0,2.0,2.0,83.0,6737.012987012987
Hennur Road,1832.0,3.0,3.0,116.0,6331.8777292576415
Hennur Road,2050.0,3.0,3.0,120.0,5853.658536585366
Hennur Road,1445.0,3.0,2.0,86.69,5999.307958477509
Hennur Road,1445.0,3.0,2.0,83.0,5743.9446366782
Hennur Road,1679.0,3.0,3.0,94.86,5649.791542584872
Hennur Road,1482.0,3.0,2.0,68.9,4649.122807017545
Hennur Road,1654.0,3.0,3.0,97.8,5912.938331318017
Hennur Road,1480.0,3.0,3.0,100.0,6756.756756756757
Hennur Road,1450.0,3.0,3.0,88.6,6110.3448275862065
Hennur Road,1155.0,2.0,2.0,69.18,5989.6103896103905
Hennur Road,1053.0,2.0,2.0,53.0,5033.2383665717
Hennur Road,1195.0,2.0,2.0,59.0,4937.238493723849
Hennur Road,1904.0,3.0,3.0,129.0,6775.210084033613
Hennur Road,1981.0,3.0,3.0,134.0,6764.260474507824
Hennur Road,1155.0,2.0,2.0,69.18,5989.6103896103905
Hennur Road,2000.0,4.0,4.0,90.0,4500.0
Hennur Road,1590.0,3.0,3.0,105.0,6603.773584905661
Hennur Road,2041.0,3.0,3.0,138.0,6761.391474767271
Hennur Road,1100.0,3.0,2.0,78.0,7090.909090909091
Hennur Road,1880.0,4.0,4.0,154.0,8191.489361702128
Hennur Road,1232.0,2.0,2.0,69.61,5650.162337662337
Hennur Road,1748.0,3.0,3.0,103.0,5892.448512585813
Hennur Road,1460.0,2.0,2.0,80.3,5500.0
Hennur Road,1570.0,3.0,3.0,75.99,4840.127388535031
Hennur Road,1933.0,3.0,3.0,140.0,7242.628039317124
Hennur Road,1030.0,2.0,2.0,46.5,4514.563106796117
Hennur Road,1232.0,2.0,2.0,69.61,5650.162337662337
Hennur Road,1450.0,3.0,3.0,79.0,5448.275862068966
Hennur Road,1445.0,3.0,2.0,89.56,6197.923875432526
Hennur Road,973.0,2.0,2.0,50.74,5214.799588900309
Hennur Road,1482.0,3.0,2.0,83.73,5649.797570850203
Hennur Road,1305.0,3.0,2.0,77.0,5900.383141762452
Hennur Road,1672.0,3.0,3.0,86.0,5143.540669856459
Hennur Road,1165.0,2.0,2.0,67.0,5751.07296137339
Hennur Road,980.0,2.0,2.0,51.0,5204.081632653061
Hennur Road,1232.0,2.0,2.0,80.0,6493.506493506494
Hennur Road,1085.0,2.0,2.0,43.4,4000.0
Hennur Road,950.0,2.0,2.0,55.0,5789.473684210527
Hennur Road,1140.0,2.0,2.0,56.0,4912.2807017543855
Hennur Road,1891.0,3.0,3.0,110.0,5817.028027498678
Hennur Road,1735.0,3.0,3.0,78.0,4495.677233429395
Hennur Road,1470.0,3.0,2.0,75.0,5102.040816326531
Hennur Road,1165.0,2.0,2.0,52.0,4463.519313304721
Hennur Road,1450.0,2.0,2.0,80.0,5517.241379310345
Hennur Road,1155.0,2.0,2.0,69.18,5989.6103896103905
Hennur Road,1936.0,3.0,3.0,131.0,6766.528925619835
Hoodi,985.0,2.0,2.0,67.0,6802.030456852792
Hoodi,1715.0,3.0,2.0,95.0,5539.35860058309
Hoodi,2118.0,4.0,4.0,111.0,5240.793201133144
Hoodi,1425.0,2.0,2.0,80.0,5614.035087719299
Hoodi,1420.0,2.0,2.0,75.0,5281.69014084507
Hoodi,1639.0,3.0,3.0,110.0,6711.4093959731545
Hoodi,1606.0,3.0,3.0,89.55,5575.965130759651
Hoodi,1639.0,3.0,3.0,98.32,5998.779743746187
Hoodi,2090.0,4.0,4.0,95.1,4550.239234449761
Hoodi,2863.0,4.0,4.0,140.0,4889.97555012225
Hoodi,1512.0,3.0,3.0,75.77,5011.243386243386
Hoodi,1026.0,2.0,2.0,60.87,5932.748538011696
Hoodi,1050.0,2.0,2.0,50.0,4761.9047619047615
Hoodi,1400.0,2.0,2.0,78.0,5571.428571428572
Hoodi,2400.0,5.0,5.0,160.0,6666.666666666667
Hoodi,1196.0,2.0,2.0,71.74,5998.327759197324
Hoodi,1553.0,3.0,3.0,83.09,5350.289761751449
Hoodi,1500.0,2.0,2.0,84.0,5600.0
Hoodi,1055.0,2.0,2.0,57.63,5462.559241706161
Hoodi,1925.0,3.0,2.0,114.0,5922.077922077922
Hoodi,1400.0,2.0,2.0,82.0,5857.142857142857
Hoodi,1746.0,3.0,3.0,84.95,4865.406643757159
Hoodi,706.0,1.0,1.0,48.24,6832.8611898017
Hoodi,1257.0,2.0,2.0,69.0,5489.260143198091
Hoodi,1132.0,2.0,2.0,67.9,5998.233215547704
Hoodi,1925.0,3.0,3.0,110.0,5714.285714285715
Hoodi,1769.0,3.0,3.0,96.87,5475.975127190503
Hoodi,1257.0,2.0,2.0,71.03,5650.755767700875
Hoodi,1305.0,2.0,2.0,75.0,5747.126436781609
Hoodi,1490.0,3.0,3.0,79.0,5302.013422818792
Hoodi,1240.0,2.0,2.0,65.0,5241.935483870968
Hoodi,1370.0,3.0,3.0,67.0,4890.510948905109
Hoodi,1108.0,2.0,2.0,74.23,6699.458483754513
Hoodi,1257.0,2.0,2.0,68.5,5449.482895783612
Hoodi,1000.0,2.0,2.0,48.0,4800.0
Hoodi,1063.0,2.0,2.0,61.17,5754.468485418626
Hoodi,1259.0,2.0,2.0,69.45,5516.282764098491
Hoodi,711.0,1.0,1.0,42.65,5998.5935302391
Hoodi,1559.0,3.0,3.0,81.55,5230.917254650417
Hoodi,863.0,1.0,1.0,40.55,4698.725376593278
Hoodi,1715.0,3.0,2.0,100.0,5830.903790087464
Hoodi,1350.0,3.0,3.0,70.0,5185.185185185185
Hoodi,1447.0,2.0,3.0,76.0,5252.24602626123
Hoodi,2144.0,3.0,3.0,140.0,6529.850746268657
Hoodi,1108.0,2.0,2.0,66.46,5998.194945848375
Hoodi,1400.0,3.0,3.0,74.0,5285.714285714285
Hoodi,1837.0,3.0,3.0,110.0,5988.023952095808
Hoodi,3385.0,4.0,4.0,220.0,6499.261447562777
Hoodi,1644.0,3.0,3.0,80.51,4897.20194647202
Hoodi,1181.0,2.0,2.0,55.0,4657.070279424217
Hoodi,1490.0,3.0,3.0,85.0,5704.697986577181
Hoodi,1258.5,2.0,2.0,59.135,4698.847834723878
Horamavu Agara,1200.0,2.0,2.0,45.0,3750.0
Horamavu Agara,1560.0,3.0,3.0,75.0,4807.692307692308
Horamavu Agara,755.0,2.0,2.0,37.49,4965.562913907284
Horamavu Agara,982.0,2.0,2.0,47.65,4852.34215885947
Horamavu Agara,1650.0,3.0,2.0,75.0,4545.454545454545
Horamavu Agara,950.0,2.0,2.0,39.0,4105.263157894737
Horamavu Agara,1756.0,3.0,3.0,92.0,5239.179954441914
Horamavu Agara,1106.0,2.0,2.0,43.09,3896.021699819168
Horamavu Agara,1079.0,2.0,2.0,41.0,3799.8146431881373
Horamavu Agara,1265.0,3.0,2.0,65.0,5138.339920948617
Horamavu Agara,1060.0,2.0,2.0,37.0,3490.566037735849
Horamavu Agara,1107.83,2.0,2.0,41.51,3746.964787016059
Horamavu Agara,980.0,2.0,2.0,38.19,3896.938775510204
Horamavu Agara,1250.0,3.0,3.0,65.0,5200.0
Horamavu Agara,1145.0,2.0,2.0,41.21,3599.126637554585
Horamavu Agara,2400.0,5.0,3.0,80.0,3333.3333333333335
Horamavu Agara,1000.0,2.0,2.0,46.0,4600.0
Horamavu Agara,760.0,2.0,2.0,37.49,4932.894736842105
Horamavu Agara,1150.0,2.0,2.0,42.0,3652.1739130434785
Horamavu Agara,1364.0,3.0,2.0,50.0,3665.689149560117
Horamavu Agara,750.0,2.0,2.0,37.49,4998.666666666667
Horamavu Agara,625.0,1.0,1.0,27.0,4320.0
Horamavu Agara,1080.0,2.0,2.0,38.0,3518.5185185185187
Horamavu Agara,994.0,2.0,2.0,42.28,4253.521126760564
Horamavu Agara,1107.83,2.0,2.0,41.51,3746.964787016059
Horamavu Agara,1300.0,3.0,2.0,52.0,4000.0
Horamavu Agara,1090.0,2.0,2.0,46.0,4220.183486238532
Horamavu Agara,1400.0,3.0,3.0,63.0,4500.0
Horamavu Agara,1557.0,3.0,3.0,70.0,4495.82530507386
Horamavu Agara,1058.0,2.0,2.0,47.0,4442.34404536862
Horamavu Banaswadi,1554.0,3.0,3.0,55.0,3539.253539253539
Horamavu Banaswadi,1611.0,3.0,3.0,66.0,4096.83426443203
