,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,SALES_PRICE
1693,KK Nagar,1684.0,2.0,1.0,149.95
1694,Anna Nagar,1740.0,1.0,1.0,136.96
1695,T Nagar,1918.0,2.0,1.0,207.48
1696,Karapakkam,669.0,1.0,1.0,51.1
1697,Chrompet,965.0,1.0,1.0,96.25
1698,Velachery,1899.0,3.0,2.0,84.33
1699,Velachery,1553.0,2.0,1.0,67.66
1700,Karapakkam,976.0,1.0,1.0,68.96
1701,Anna Nagar,1628.0,1.0,1.0,126.52
1702,Chrompet,894.0,1.0,1.0,90.39
1703,Anna Nagar,1734.0,1.0,1.0,104.98
1704,Karapakkam,662.0,1.0,1.0,50.74
1705,Adyar,994.0,1.0,1.0,108.35
1706,Chrompet,1033.0,1.0,1.0,117.19
1707,Karapakkam,1462.0,2.0,2.0,43.62
1708,Anna Nagar,1662.0,1.0,1.0,190.75
1709,KK Nagar,1865.0,3.0,2.0,98.59
1710,Karapakkam,1042.0,1.0,1.0,52.65
1711,Chrompet,828.0,1.0,1.0,75.53
1712,Chrompet,850.0,1.0,1.0,71.24
1713,Karapakkam,1562.0,2.0,2.0,113.59
1714,KK Nagar,1425.0,2.0,1.0,97.62
1715,Anna Nagar,1813.0,2.0,1.0,123.71
1716,Velachery,1973.0,3.0,2.0,89.63
1717,Anna Nagar,1558.0,1.0,1.0,108.42
1718,Velachery,1702.0,2.0,1.0,101.41
1719,T Nagar,1781.0,1.0,1.0,179.59
1720,T Nagar,1538.0,1.0,1.0,177.49
1721,Velachery,1906.0,3.0,2.0,166.03
1722,Anna Nagar,1782.0,1.0,1.0,149.8
1723,Adyar,848.0,1.0,1.0,114.77
1724,Chrompet,737.0,1.0,1.0,102.76
1725,T Nagar,1512.0,1.0,1.0,137.38
1726,KK Nagar,1956.0,3.0,2.0,113.74
1727,KK Nagar,1402.0,2.0,1.0,130.86
1728,Chrompet,779.0,1.0,1.0,75.75
1729,Anna Nagar,1625.0,1.0,1.0,120.85
1730,Anna Nagar,1724.0,1.0,1.0,123.38
1731,KK Nagar,2277.0,4.0,2.0,133.11
1732,T Nagar,1692.0,1.0,1.0,136.7
1733,Chrompet,1184.0,1.0,1.0,138.61
1734,Karapakkam,657.0,1.0,1.0,36.44
1735,Chrompet,942.0,1.0,1.0,77.67
1736,Velachery,1535.0,2.0,1.0,142.12
1737,Chrompet,966.0,1.0,1.0,132.32
1738,Karapakkam,1294.0,1.0,1.0,91.61
1739,KK Nagar,2042.0,3.0,2.0,118.49
1740,Adyar,1110.0,1.0,1.0,85.61
1741,Chrompet,819.0,1.0,1.0,81.32
1742,Chrompet,1132.0,1.0,1.0,137.1
1743,Adyar,900.0,1.0,1.0,101.28
1744,KK Nagar,2486.0,4.0,2.0,196.16
1745,Karapakkam,896.0,1.0,1.0,67.66
1746,Velachery,1749.0,2.0,1.0,153.89
1747,Chrompet,1252.0,2.0,1.0,149.02
1748,Chrompet,1234.0,2.0,1.0,138.22
1749,KK Nagar,2306.0,4.0,2.0,113.19
1750,Chrompet,814.0,1.0,1.0,88.91
1751,Chrompet,878.0,1.0,1.0,92.09
1752,Chrompet,1053.0,1.0,1.0,132.17
1753,T Nagar,1809.0,2.0,1.0,200.35
1754,Anna Nagar,1871.0,2.0,1.0,149.04
1755,Chrompet,802.0,1.0,1.0,97.22
1756,Chrompet,1191.0,1.0,1.0,98.94
1757,Adyar,1025.0,1.0,1.0,108.44
1758,KK Nagar,1392.0,2.0,1.0,122.86
1759,KK Nagar,2499.0,4.0,2.0,133.98
1760,Karapakkam,1290.0,1.0,1.0,87.0
1761,Anna Nagar,1760.0,1.0,1.0,203.46
1762,Chrompet,1279.0,2.0,1.0,97.96
1763,Chrompet,816.0,1.0,1.0,100.08
1764,T Nagar,1904.0,2.0,1.0,208.39
1765,KK Nagar,1502.0,2.0,1.0,126.14
1766,Chrompet,922.0,1.0,1.0,86.35
1767,T Nagar,1781.0,1.0,1.0,205.19
1768,Adyar,645.0,1.0,1.0,87.93
1769,Chrompet,1142.0,1.0,1.0,128.07
1770,T Nagar,1674.0,1.0,1.0,104.1
1771,Adyar,781.0,1.0,1.0,111.58
1772,Adyar,1274.0,2.0,2.0,93.35
1773,Karapakkam,687.0,1.0,1.0,59.14
1774,T Nagar,1886.0,2.0,1.0,146.71
1775,T Nagar,1598.0,1.0,1.0,200.24
1776,Karapakkam,593.0,1.0,1.0,64.74
1777,Anna Nagar,1815.0,2.0,1.0,198.14
1778,Karapakkam,1121.0,1.0,1.0,58.49
1779,Chrompet,1182.0,1.0,1.0,100.98
1780,Anna Nagar,1864.0,2.0,1.0,128.68
1781,KK Nagar,2125.0,3.0,2.0,166.57
1782,Chrompet,955.0,1.0,1.0,97.44
1783,Velachery,1625.0,2.0,1.0,137.19
1784,Chrompet,864.0,1.0,1.0,125.57
1785,Chrompet,1183.0,1.0,1.0,104.54
1786,Karapakkam,938.0,1.0,1.0,49.18
1787,Karapakkam,1040.0,1.0,1.0,76.0
1788,Chrompet,849.0,1.0,1.0,116.51
1789,Karapakkam,914.0,1.0,1.0,66.88
1790,Karapakkam,1156.0,1.0,1.0,89.48
1791,Chrompet,830.0,1.0,1.0,108.59
1792,KK Nagar,1655.0,2.0,1.0,98.44
1793,KK Nagar,1693.0,2.0,1.0,100.22
1794,Chrompet,1014.0,1.0,1.0,130.92
1795,Chrompet,1148.0,1.0,1.0,81.79
1796,KK Nagar,2453.0,4.0,2.0,137.29
1797,KK Nagar,2167.0,3.0,2.0,124.77
1798,Karapakkam,1404.0,2.0,2.0,91.46
1799,T Nagar,1545.0,1.0,1.0,139.87
1800,Velachery,1634.0,2.0,1.0,81.78
1801,Chrompet,1268.0,2.0,1.0,109.83
1802,KK Nagar,1682.0,2.0,1.0,122.39
1803,Velachery,1787.0,2.0,1.0,96.4
1804,Karapakkam,1337.0,2.0,2.0,79.53
1805,Adyar,695.0,1.0,1.0,61.49
1806,Anna Nagar,1930.0,2.0,1.0,130.61
1807,Chrompet,1042.0,1.0,1.0,105.81
1808,T Nagar,1613.0,1.0,1.0,175.38
1809,Karapakkam,1270.0,1.0,1.0,89.54
1810,Chrompet,997.0,1.0,1.0,120.56
1811,Chrompet,726.0,1.0,1.0,62.81
1812,Velachery,1853.0,3.0,2.0,100.18
1813,Velachery,1591.0,2.0,1.0,83.54
1814,Anna Nagar,1980.0,2.0,1.0,143.33
1815,KK Nagar,2226.0,4.0,2.0,116.7
1816,Adyar,808.0,1.0,1.0,119.49
1817,Karapakkam,1376.0,2.0,2.0,81.05
1818,T Nagar,1868.0,2.0,1.0,200.33
1819,Karapakkam,1311.0,1.0,1.0,65.32
1820,Adyar,805.0,1.0,1.0,89.34
1821,Chrompet,706.0,1.0,1.0,78.19
1822,Karapakkam,1464.0,2.0,2.0,62.73
1823,Adyar,648.0,1.0,1.0,103.74
1824,Velachery,1917.0,3.0,2.0,110.82
1825,Adyar,1018.0,1.0,1.0,92.13
1826,Anna Nagar,1694.0,1.0,1.0,188.55
1827,Chrompet,1112.0,1.0,1.0,133.64
1828,Karapakkam,950.0,1.0,1.0,64.09
1829,Adyar,1282.0,2.0,2.0,109.34
1830,Velachery,1639.0,2.0,1.0,70.17
1831,KK Nagar,1501.0,2.0,1.0,106.82
1832,Chrompet,765.0,1.0,1.0,57.37
1833,Anna Nagar,1765.0,1.0,1.0,136.69
1834,Karapakkam,1518.0,2.0,2.0,65.97
1835,KK Nagar,2417.0,4.0,2.0,114.36
1836,Karapakkam,1070.0,1.0,1.0,50.47
1837,T Nagar,1784.0,1.0,1.0,148.2
1838,Chrompet,1188.0,1.0,1.0,97.98
1839,Karapakkam,1494.0,2.0,2.0,81.88
1840,T Nagar,1810.0,2.0,1.0,204.41
1841,Karapakkam,738.0,1.0,1.0,67.99
1842,KK Nagar,1564.0,2.0,1.0,100.19
1843,Karapakkam,1211.0,1.0,1.0,85.05
1844,Velachery,1662.0,2.0,1.0,133.84
1845,Velachery,1530.0,2.0,1.0,108.51
1846,Adyar,909.0,1.0,1.0,83.11
1847,Adyar,690.0,1.0,1.0,74.86
1848,Chrompet,780.0,1.0,1.0,70.6
1849,Chrompet,1195.0,1.0,1.0,102.1
1850,Karapakkam,1428.0,2.0,2.0,131.8
1851,Adyar,746.0,1.0,1.0,63.91
1852,Adyar,921.0,1.0,1.0,71.78
1853,Adyar,607.0,1.0,1.0,53.83
1854,Adyar,712.0,1.0,1.0,69.78
1855,KK Nagar,2312.0,4.0,2.0,125.7
1856,Velachery,1809.0,3.0,2.0,112.69
1857,T Nagar,1872.0,2.0,1.0,148.23
1858,KK Nagar,2286.0,4.0,2.0,134.03
1859,Karapakkam,1648.0,2.0,2.0,53.14
1860,Anna Nagar,1522.0,1.0,1.0,115.84
1861,Chrompet,919.0,1.0,1.0,121.58
1862,T Nagar,1858.0,2.0,1.0,126.96
1863,Chrompet,1082.0,1.0,1.0,129.44
1864,Karapakkam,1338.0,2.0,2.0,73.85
1865,Karapakkam,1559.0,2.0,2.0,57.49
1866,Karapakkam,860.0,1.0,1.0,60.63
1867,Velachery,1769.0,2.0,1.0,96.27
1868,Chrompet,1197.0,1.0,1.0,92.73
1869,Velachery,1971.0,3.0,2.0,155.6
1870,Velachery,1966.0,3.0,2.0,96.65
1871,KK Nagar,2176.0,3.0,2.0,117.52
1872,Karapakkam,1519.0,2.0,2.0,56.86
1873,KK Nagar,1892.0,3.0,2.0,115.27
1874,Chrompet,786.0,1.0,1.0,69.01
1875,Chrompet,942.0,1.0,1.0,98.24
1876,Karapakkam,1344.0,2.0,2.0,75.25
1877,Karapakkam,943.0,1.0,1.0,71.02
1878,Chrompet,1098.0,1.0,1.0,89.02
1879,Karapakkam,1190.0,1.0,1.0,65.0
1880,Velachery,1590.0,2.0,1.0,96.37
1881,Karapakkam,1040.0,1.0,1.0,95.67
1882,KK Nagar,1524.0,2.0,1.0,98.91
1883,Chrompet,1132.0,1.0,1.0,83.57
1884,Anna Nagar,1699.0,1.0,1.0,192.97
1885,Chrompet,1204.0,2.0,1.0,100.96
1886,Adyar,1003.0,1.0,1.0,137.1
1887,Anna Nagar,1610.0,1.0,1.0,123.65
1888,Velachery,1869.0,3.0,2.0,80.75
1889,Anna Nagar,1676.0,1.0,1.0,203.02
1890,Adyar,929.0,1.0,1.0,94.95
1891,Karapakkam,1265.0,1.0,1.0,89.71
1892,T Nagar,1585.0,1.0,1.0,175.56
1893,Chrompet,729.0,1.0,1.0,98.6
1894,T Nagar,1882.0,2.0,1.0,122.36
1895,Adyar,912.0,1.0,1.0,93.5
1896,KK Nagar,2147.0,3.0,2.0,171.81
1897,Chrompet,898.0,1.0,1.0,129.07
1898,Velachery,1979.0,3.0,2.0,159.66
1899,Karapakkam,1398.0,2.0,2.0,74.43
1900,Karapakkam,942.0,1.0,1.0,58.95
1901,Karapakkam,1504.0,2.0,2.0,78.68
1902,Chrompet,821.0,1.0,1.0,87.08
1903,Adyar,1045.0,1.0,1.0,113.3
1904,Chrompet,1149.0,1.0,1.0,83.18
1905,Anna Nagar,1666.0,1.0,1.0,130.1
1906,Karapakkam,1210.0,1.0,1.0,83.33
1907,Velachery,1523.0,2.0,1.0,80.79
1908,Chrompet,891.0,1.0,1.0,106.74
1909,T Nagar,1955.0,2.0,1.0,223.03
1910,Chrompet,1191.0,1.0,1.0,107.49
1911,KK Nagar,1641.0,2.0,1.0,95.75
1912,Chrompet,740.0,1.0,1.0,75.26
1913,Velachery,1588.0,2.0,1.0,113.85
1914,Karapakkam,1272.0,1.0,1.0,75.44
1915,Chrompet,879.0,1.0,1.0,121.77
1916,Chrompet,1228.0,2.0,1.0,100.71
1917,Karapakkam,946.0,1.0,1.0,79.22
1918,Karapakkam,867.0,1.0,1.0,76.91
1919,Velachery,1932.0,3.0,2.0,77.34
1920,Velachery,1617.0,2.0,1.0,130.15
1921,KK Nagar,2179.0,3.0,2.0,184.86
1922,Karapakkam,1040.0,1.0,1.0,44.38
1923,Karapakkam,950.0,1.0,1.0,80.47
1924,Karapakkam,1354.0,2.0,2.0,51.31
1925,Velachery,1739.0,2.0,1.0,117.3
1926,Adyar,935.0,1.0,1.0,116.79
1927,Karapakkam,1484.0,2.0,2.0,67.91
1928,KK Nagar,2182.0,3.0,2.0,117.75
1929,Anna Nagar,1711.0,1.0,1.0,115.24
1930,Chrompet,886.0,1.0,1.0,69.57
1931,Velachery,1760.0,2.0,1.0,166.16
1932,Chrompet,1283.0,2.0,1.0,96.07
1933,Karapakkam,1155.0,1.0,1.0,61.25
1934,Karapakkam,752.0,1.0,1.0,58.07
1935,KK Nagar,1888.0,3.0,2.0,118.06
1936,Chrompet,1211.0,2.0,1.0,132.62
1937,Karapakkam,1248.0,1.0,1.0,57.1
1938,KK Nagar,1892.0,3.0,2.0,169.68
1939,Adyar,1030.0,1.0,1.0,57.43
1940,Chrompet,1254.0,2.0,1.0,90.95
1941,KK Nagar,1762.0,2.0,1.0,148.27
1942,Karapakkam,1622.0,2.0,2.0,111.69
1943,Chrompet,951.0,1.0,1.0,112.65
1944,Anna Nagar,1981.0,2.0,1.0,206.97
1945,Karapakkam,1628.0,2.0,2.0,60.08
1946,Chrompet,797.0,1.0,1.0,71.43
1947,Karapakkam,1587.0,2.0,2.0,112.68
1948,Chrompet,1081.0,1.0,1.0,113.19
1949,Anna Nagar,1895.0,2.0,1.0,143.58
1950,Chrompet,973.0,1.0,1.0,121.74
1951,Chrompet,844.0,1.0,1.0,93.19
1952,Chrompet,965.0,1.0,1.0,65.98
1953,Velachery,1742.0,2.0,1.0,85.4
1954,KK Nagar,1304.0,1.0,1.0,107.8
1955,T Nagar,1510.0,1.0,1.0,112.21
1956,T Nagar,1888.0,2.0,1.0,210.15
1957,Anna Nagar,1540.0,1.0,1.0,191.43
1958,Karapakkam,1023.0,1.0,1.0,73.1
1959,Karapakkam,798.0,1.0,1.0,75.06
1960,Anna Nagar,1624.0,1.0,1.0,130.99
1961,KK Nagar,1612.0,2.0,1.0,86.0
1962,T Nagar,1723.0,1.0,1.0,140.29
1963,Chrompet,950.0,1.0,1.0,118.73
1964,T Nagar,1919.0,2.0,1.0,204.96
1965,T Nagar,1528.0,1.0,1.0,142.03
1966,Karapakkam,1081.0,1.0,1.0,59.4
1967,Chrompet,1002.0,1.0,1.0,102.32
1968,Chrompet,937.0,1.0,1.0,90.37
1969,KK Nagar,2372.0,4.0,2.0,138.51
1970,Chrompet,1237.0,2.0,1.0,133.31
1971,Chrompet,1242.0,2.0,1.0,138.97
1972,Velachery,1700.0,2.0,1.0,73.26
1973,KK Nagar,2422.0,4.0,2.0,125.33
1974,Chrompet,801.0,1.0,1.0,73.85
1975,Velachery,1503.0,2.0,1.0,107.69
1976,Anna Nagar,1549.0,1.0,1.0,185.32
1977,Adyar,606.0,1.0,1.0,86.05
1978,Chrompet,1277.0,2.0,1.0,101.5
1979,Chrompet,791.0,1.0,1.0,95.25
1980,T Nagar,1878.0,2.0,1.0,207.35
1981,Karapakkam,806.0,1.0,1.0,72.11
1982,T Nagar,1543.0,1.0,1.0,190.83
1983,KK Nagar,1363.0,2.0,1.0,125.72
1984,T Nagar,1584.0,1.0,1.0,111.73
1985,Anna Nagar,1794.0,1.0,1.0,209.4
1986,Karapakkam,704.0,1.0,1.0,69.66
1987,Anna Nagar,1531.0,1.0,1.0,117.8
1988,Chrompet,1003.0,1.0,1.0,97.78
1989,Chrompet,1010.0,1.0,1.0,97.73
1990,Anna Nagar,1794.0,1.0,1.0,126.54
1991,KK Nagar,1756.0,2.0,1.0,106.31
1992,Adyar,1188.0,1.0,1.0,141.97
1993,Chrompet,1164.0,1.0,1.0,128.74
1994,T Nagar,1851.0,2.0,1.0,136.99
1995,Chrompet,1176.0,1.0,1.0,108.81
1996,KK Nagar,1503.0,2.0,1.0,113.28
1997,Karapakkam,1621.0,2.0,2.0,88.93
1998,Karapakkam,883.0,1.0,1.0,50.58
1999,Chrompet,1257.0,2.0,1.0,94.82
2000,Karapakkam,552.0,1.0,1.0,49.5
2001,Anna Nagar,1803.0,2.0,1.0,129.94
2002,Karapakkam,721.0,1.0,1.0,64.53
2003,Velachery,1573.0,2.0,1.0,85.45
2004,Chrompet,723.0,1.0,1.0,87.26
2005,Chrompet,1148.0,1.0,1.0,104.37
2006,KK Nagar,1513.0,2.0,1.0,95.07
2007,Chrompet,951.0,1.0,1.0,78.63
2008,KK Nagar,2449.0,4.0,2.0,120.84
2009,TNagar,1597.0,1.0,1.0,125.69
2010,Karapakkam,1058.0,1.0,1.0,70.21
2011,Karapakkam,1438.0,2.0,2.0,65.06
2012,Karapakkam,1616.0,2.0,2.0,58.29
2013,Adyar,632.0,1.0,1.0,117.2
2014,Chrompet,953.0,1.0,1.0,88.01
2015,KK Nagar,1714.0,2.0,1.0,94.7
2016,KK Nagar,1334.0,2.0,1.0,118.14
2017,Anna Nagar,1770.0,1.0,1.0,198.45
2018,Karapakkam,1098.0,1.0,1.0,64.65
2019,Chrompet,1010.0,1.0,1.0,92.07
2020,Karapakkam,1195.0,1.0,1.0,107.96
2021,Adyar,624.0,1.0,1.0,53.78
2022,Chrompet,1272.0,2.0,1.0,100.3
2023,KK Nagar,1324.0,1.0,1.0,91.4
2024,KK Nagar,2424.0,4.0,2.0,187.97
2025,KK Nagar,1438.0,2.0,1.0,134.44
2026,Adyar,701.0,1.0,1.0,117.65
2027,Chrompet,1236.0,2.0,1.0,112.41
2028,Velachery,1744.0,2.0,1.0,76.7
2029,Chrompet,1078.0,1.0,1.0,83.73
2030,Chrompet,901.0,1.0,1.0,94.91
2031,Velachery,1669.0,2.0,1.0,138.53
2032,Adyar,1073.0,1.0,1.0,95.37
2033,Karapakkam,1273.0,1.0,1.0,110.26
2034,Adyar,1235.0,2.0,2.0,131.58
2035,Karapakkam,1400.0,2.0,2.0,61.96
2036,Anna Nagar,1598.0,1.0,1.0,114.5
2037,Anna Nagar,1819.0,2.0,1.0,137.63
2038,Adyar,902.0,1.0,1.0,121.33
2039,Adyar,795.0,1.0,1.0,99.54
2040,KK Nagar,1763.0,2.0,1.0,153.29
2041,Velachery,1848.0,3.0,2.0,144.45
2042,Chrompet,1288.0,2.0,1.0,157.81
2043,Velachery,1615.0,2.0,1.0,101.72
2044,Chrompet,1026.0,1.0,1.0,138.85
2045,Velachery,1598.0,2.0,1.0,117.62
2046,Velachery,1896.0,3.0,2.0,93.16
2047,KK Nagar,2276.0,4.0,2.0,132.22
2048,KK Nagar,2407.0,4.0,2.0,171.0
2049,Chrompet,1083.0,1.0,1.0,96.93
2050,Chrompet,728.0,1.0,1.0,76.39
2051,T Nagar,1894.0,2.0,1.0,118.63
2052,Anna Nagar,1595.0,1.0,1.0,116.8
2053,Chrompet,1274.0,2.0,1.0,142.54
2054,Anna Nagar,1760.0,1.0,1.0,123.09
2055,Adyar,969.0,1.0,1.0,111.57
2056,Velachery,1652.0,2.0,1.0,94.64
2057,Karapakkam,1211.0,1.0,1.0,74.91
2058,Chrompet,958.0,1.0,1.0,128.63
2059,Chrompet,818.0,1.0,1.0,80.28
2060,Adyar,958.0,1.0,1.0,112.22
2061,Chrompet,1091.0,1.0,1.0,148.94
2062,Chrompet,1066.0,1.0,1.0,95.72
2063,KK Nagar,2371.0,4.0,2.0,104.63
2064,Karapakkam,1451.0,2.0,2.0,104.75
2065,Anna Nagar,1985.0,2.0,1.0,219.7
2066,Velachery,1853.0,3.0,2.0,165.5
2067,Velachery,1841.0,3.0,2.0,98.71
2068,Anna Nagar,1767.0,1.0,1.0,203.31
2069,Chrompet,1147.0,1.0,1.0,93.52
2070,Chrompet,1232.0,2.0,1.0,85.88
2071,Chrompet,1264.0,2.0,1.0,102.65
2072,Karapakkam,898.0,1.0,1.0,94.51
2073,Chrompet,743.0,1.0,1.0,80.11
2074,Chrompet,1064.0,1.0,1.0,99.56
2075,Chrompet,980.0,1.0,1.0,100.45
2076,Anna Nagar,1780.0,1.0,1.0,194.59
2077,KK Nagar,1665.0,2.0,1.0,120.55
2078,Velachery,1852.0,3.0,2.0,146.47
2079,Chrompet,1231.0,2.0,1.0,138.75
2080,KK Nagar,1413.0,2.0,1.0,89.93
2081,KK Nagar,2443.0,4.0,2.0,183.34
2082,Chrompet,1071.0,1.0,1.0,102.23
2083,KK Nagar,1614.0,2.0,1.0,102.82
2084,KK Nagar,1302.0,1.0,1.0,104.24
2085,Anna Nagar,1923.0,2.0,1.0,123.21
2086,Chrompet,805.0,1.0,1.0,79.15
2087,Anna Nagar,1586.0,1.0,1.0,106.71
2088,Velachery,1883.0,3.0,2.0,136.5
2089,KK Nagar,1582.0,2.0,1.0,123.64
2090,Adyar,1109.0,1.0,1.0,99.77
2091,Karapakkam,968.0,1.0,1.0,62.97
2092,Karapakkam,1687.0,2.0,2.0,111.1
2093,Velachery,1754.0,2.0,1.0,70.91
2094,Anna Nagar,1766.0,1.0,1.0,131.62
2095,Velachery,1656.0,2.0,1.0,141.78
2096,Chrompet,805.0,1.0,1.0,88.28
2097,Karapakkam,726.0,1.0,1.0,65.54
2098,Karapakkam,1228.0,1.0,1.0,109.33
2099,Anna Nagar,1995.0,2.0,1.0,205.51
2100,Karapakkam,931.0,1.0,1.0,80.92
2101,Chrompet,737.0,1.0,1.0,59.4
2102,Velachery,1762.0,2.0,1.0,149.12
2103,Velachery,1726.0,2.0,1.0,144.71
2104,T Nagar,1915.0,2.0,1.0,150.9
2105,Chrompet,729.0,1.0,1.0,79.19
2106,Karapakkam,1653.0,2.0,2.0,112.48
2107,Chrompet,1261.0,2.0,1.0,150.44
2108,Velachery,1744.0,2.0,1.0,98.72
2109,Adyar,791.0,1.0,1.0,73.59
2110,KK Nagar,2199.0,3.0,2.0,126.87
2111,Velachery,1915.0,3.0,2.0,69.98
2112,Chrompet,857.0,1.0,1.0,77.39
2113,Anna Nagar,1853.0,2.0,1.0,214.37
2114,Anna Nagar,1701.0,1.0,1.0,121.86
2115,Chrompet,963.0,1.0,1.0,112.24
2116,Anna Nagar,1889.0,2.0,1.0,130.42
2117,Velachery,1544.0,2.0,1.0,73.6
2118,Chrompet,916.0,1.0,1.0,125.02
2119,Karapakkam,1175.0,1.0,1.0,68.98
2120,Anna Nagar,1966.0,2.0,1.0,146.22
2121,KK Nagar,2292.0,4.0,2.0,129.97
2122,Anna Nagar,1781.0,1.0,1.0,114.3
2123,Karapakkam,1075.0,1.0,1.0,75.42
2124,Chrompet,1056.0,1.0,1.0,93.42
2125,Chrompet,948.0,1.0,1.0,81.59
2126,Chrompet,1002.0,1.0,1.0,115.15
2127,Karapakkam,823.0,1.0,1.0,64.21
2128,Chrompet,856.0,1.0,1.0,96.57
2129,KK Nagar,1432.0,2.0,1.0,89.25
2130,Adyar,742.0,1.0,1.0,60.38
2131,KK Nagar,1743.0,2.0,1.0,108.83
2132,KK Nagar,2311.0,4.0,2.0,127.85
2133,Karapakkam,1055.0,1.0,1.0,80.6
2134,Velachery,1641.0,2.0,1.0,161.37
2135,Karapakkam,690.0,1.0,1.0,64.43
2136,Chrompet,756.0,1.0,1.0,99.6
2137,Velachery,1704.0,2.0,1.0,109.06
2138,Karapakkam,680.0,1.0,1.0,34.04
2139,Anna Nagar,1734.0,1.0,1.0,126.84
2140,Adyar,1033.0,1.0,1.0,80.57
2141,Karapakkam,757.0,1.0,1.0,90.95
2142,Velachery,1912.0,3.0,2.0,100.11
2143,Chrompet,845.0,1.0,1.0,65.19
2144,Chrompet,1275.0,2.0,1.0,140.09
2145,Chrompet,1173.0,1.0,1.0,95.63
2146,KK Nagar,1502.0,2.0,1.0,93.26
2147,Chrompet,1187.0,1.0,1.0,135.34
2148,Anna Nagar,1889.0,2.0,1.0,207.07
2149,T Nagar,1853.0,2.0,1.0,116.98
2150,Adyar,603.0,1.0,1.0,53.42
2151,KK Nagar,2172.0,3.0,2.0,171.94
2152,Anna Nagar,1507.0,1.0,1.0,172.95
2153,Karapakkam,692.0,1.0,1.0,69.99
2154,Velachery,1897.0,3.0,2.0,79.78
2155,Velachery,1607.0,2.0,1.0,85.29
2156,KK Nagar,1607.0,2.0,1.0,142.1
2157,Anna Nagar,1853.0,2.0,1.0,130.27
2158,Chrompet,1121.0,1.0,1.0,107.69
2159,KK Nagar,2279.0,4.0,2.0,135.83
2160,Adyar,729.0,1.0,1.0,68.54
2161,Adyar,794.0,1.0,1.0,102.15
2162,Chrompet,800.0,1.0,1.0,119.01
2163,Chrompet,1292.0,2.0,1.0,103.09
2164,Adyar,831.0,1.0,1.0,76.57
2165,Velachery,1850.0,3.0,2.0,157.47
2166,Karapakkam,1454.0,2.0,2.0,58.3
2167,Chrompet,1053.0,1.0,1.0,124.87
2168,Adyar,1115.0,1.0,1.0,97.95
2169,KK Nagar,1498.0,2.0,1.0,90.23
2170,Chrompet,992.0,1.0,1.0,104.43
2171,Karapakkam,520.0,1.0,1.0,43.21
2172,Adyar,833.0,1.0,1.0,112.8
2173,Chrompet,1114.0,1.0,1.0,135.52
2174,Karapakkam,753.0,1.0,1.0,87.99
2175,Anna Nagar,1705.0,1.0,1.0,118.13
2176,Adyar,934.0,1.0,1.0,120.33
2177,Karapakkam,1101.0,1.0,1.0,77.05
2178,Chrompet,1104.0,1.0,1.0,143.95
2179,Chrompet,1085.0,1.0,1.0,87.17
2180,Chrompet,1015.0,1.0,1.0,130.76
2181,Karapakkam,1389.0,2.0,2.0,88.64
2182,Chrompet,1179.0,1.0,1.0,106.96
2183,Chrompet,855.0,1.0,1.0,93.55
2184,Adyar,897.0,1.0,1.0,98.5
2185,Anna Nagar,1762.0,1.0,1.0,134.07
2186,Chrompet,726.0,1.0,1.0,103.7
2187,Chrompet,1285.0,2.0,1.0,159.82
2188,Chrompet,940.0,1.0,1.0,113.6
2189,Anna Nagar,1914.0,2.0,1.0,145.0
2190,Adyar,1285.0,2.0,2.0,119.55
2191,Chrompet,707.0,1.0,1.0,71.34
2192,Chrompet,939.0,1.0,1.0,124.6
2193,T Nagar,1911.0,2.0,1.0,212.2
2194,Anna Nagar,1697.0,1.0,1.0,124.8
2195,Chrompet,740.0,1.0,1.0,90.03
2196,T Nagar,1639.0,1.0,1.0,120.41
2197,Chrompet,1210.0,2.0,1.0,99.67
2198,Karapakkam,1467.0,2.0,2.0,57.3
2199,Karapakkam,1412.0,2.0,2.0,116.74
2200,Chrompet,1124.0,1.0,1.0,130.31
2201,Anna Nagar,1996.0,2.0,1.0,206.19
2202,Karapakkam,1632.0,2.0,2.0,68.28
2203,Chrompet,1021.0,1.0,1.0,93.38
2204,Karapakkam,1448.0,2.0,2.0,122.52
2205,KK Nagar,2450.0,4.0,2.0,119.68
2206,Chrompet,941.0,1.0,1.0,98.68
2207,KK Nagar,1412.0,2.0,1.0,106.78
2208,Chrompet,1153.0,1.0,1.0,128.67
2209,T Nagar,1690.0,1.0,1.0,195.26
2210,KK Nagar,1307.0,1.0,1.0,92.73
2211,Velachery,1635.0,2.0,1.0,95.7
2212,Chrompet,772.0,1.0,1.0,101.32
2213,Karapakkam,1438.0,2.0,2.0,123.94
2214,T Nagar,1505.0,1.0,1.0,110.86
2215,Karapakkam,1635.0,2.0,2.0,88.21
2216,Anna Nagar,1631.0,1.0,1.0,122.52
2217,T Nagar,1585.0,1.0,1.0,118.28
2218,Chrompet,1117.0,1.0,1.0,127.05
2219,Karapakkam,1296.0,1.0,1.0,112.35
2220,Chrompet,1238.0,2.0,1.0,92.58
2221,KK Nagar,1859.0,3.0,2.0,160.19
2222,KK Nagar,2239.0,4.0,2.0,115.64
2223,Velachery,1771.0,2.0,1.0,81.3
2224,Adyar,626.0,1.0,1.0,52.52
2225,Chrompet,978.0,1.0,1.0,81.96
2226,T Nagar,1586.0,1.0,1.0,102.59
2227,Chrompet,1196.0,1.0,1.0,111.35
